food,Energy,Carbs,Protein,Fiber,Fat,Sugar,Fat (mono),Fat (poly),Fat (sat),Cholesterol,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Thiamin (B1),Riboflavin (B2),Niacin (B3),Pantothenic acid (B5),Pyridoxine (B6),Folate (B9),Cobalmins (B12),Vitamin A,Vitamin C,Vitamin D (D2 + D3),Vitamin E,Cystine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Tyrosine,Valine,Lycopene,Lutein + zeaxanthin,alpha-Carotene,beta-Carotene,beta-Cryptoxanthin,Vitamin K
"Rice, white, long-grain, regular, raw, unenriched",946.0,79.95,7.13,1.3,0.66,0.12,0.206,0.177,0.18,0.0,28.0,0.22,0.8,25.0,1.088,115.0,115.0,15.1,5.0,1.09,0.07,0.049,1.6,1.014,0.164,8.0,0.0,0.0,0.0,0.0,0.11,0.146,0.168,0.308,0.589,0.258,0.168,0.381,0.255,0.083,0.238,0.435,0.0,0.0,0.0,0.0,0.0,
"Teff, uncooked",951.5,73.13,13.3,8.0,2.38,1.84,0.589,1.071,0.449,,180.0,0.81,7.63,184.0,9.24,429.0,427.0,4.4,12.0,3.63,0.39,0.27,3.363,0.942,0.482,,,0.0,,,0.08,0.236,0.301,0.501,1.068,0.376,0.428,0.698,0.51,0.139,0.458,0.686,0.0,66.0,0.0,5.0,0.0,1.9
Rye grain,876.0,75.86,10.34,15.1,1.63,0.98,0.208,0.767,0.197,0.0,24.0,0.367,2.63,110.0,2.577,332.0,510.0,13.9,2.0,2.65,0.316,0.251,4.27,1.456,0.294,38.0,0.0,1.0,0.0,0.0,0.85,,0.189,0.208,0.563,0.286,0.153,0.435,0.289,0.108,0.2,0.317,0.0,210.0,0.0,7.0,0.0,
"Brussels sprouts, raw",88.33333333333333,8.95,3.38,3.8,0.3,2.2,0.023,0.153,0.062,0.0,42.0,0.07,1.4,23.0,0.337,69.0,389.0,1.6,25.0,0.42,0.139,0.09,0.745,0.309,0.219,61.0,0.0,38.0,85.0,0.0,0.88,0.022,0.076,0.132,0.152,0.154,0.032,0.098,0.12,0.037,,0.155,0.0,1590.0,6.0,450.0,0.0,
"Beets, raw",88.66666666666667,9.56,1.61,2.8,0.17,6.76,0.032,0.06,0.027,0.0,16.0,0.075,0.8,23.0,0.329,40.0,325.0,0.7,78.0,0.35,0.031,0.04,0.334,0.155,0.067,109.0,0.0,2.0,4.9,0.0,0.04,0.019,0.021,0.048,0.068,0.058,0.018,0.046,0.047,0.019,0.038,0.056,0.0,0.0,0.0,20.0,0.0,
"Broccoli, raw",76.57142857142857,6.46,2.695,2.5,0.355,1.7,0.020999999999999998,0.0645,0.0765,0.0,46.5,0.054,0.71,21.0,0.20133333333333334,66.5,309.5,2.05,34.5,0.415,0.074,0.1155,0.639,0.5976666666666667,0.183,64.0,0.0,19.5,80.75,0.0,0.465,0.028,0.059,0.079,0.129,0.135,0.038,0.117,0.08800000000000001,0.033,0.05000000000000001,0.125,0.0,1074.0,12.5,227.0,0.5,
"Corn grain, yellow",946.0,74.26,9.42,7.3,4.74,0.64,1.251,2.163,0.667,0.0,7.0,0.314,2.71,127.0,0.485,210.0,287.0,15.5,35.0,2.21,0.385,0.201,3.627,0.424,0.622,19.0,0.0,11.0,0.0,0.0,0.49,0.17,0.287,0.337,1.155,0.265,0.197,0.463,0.354,0.067,0.383,0.477,0.0,1355.0,63.0,97.0,0.0,
"Cauliflower, raw",51.333333333333336,4.97,1.92,2.0,0.28,1.91,0.034,0.031,0.13,0.0,22.0,0.039,0.42,15.0,0.155,44.0,299.0,0.6,30.0,0.27,0.05,0.06,0.507,0.667,0.184,57.0,0.0,0.0,48.2,0.0,0.08,0.02,0.056,0.071,0.106,0.217,0.02,0.065,0.076,0.02,0.051,0.125,0.0,1.0,0.0,0.0,0.0,15.5
"Eggplant, raw",51.333333333333336,5.88,0.98,3.0,0.18,3.53,0.016,0.076,0.034,0.0,9.0,0.081,0.23,14.0,0.232,24.0,229.0,0.3,2.0,0.16,0.039,0.037,0.649,0.281,0.084,22.0,0.0,1.0,2.2,0.0,0.3,0.006,0.023,0.045,0.064,0.047,0.011,0.043,0.037,0.009,0.027,0.053,0.0,36.0,0.0,14.0,0.0,
"Tomatoes, red, ripe, raw, year round average",46.0,3.89,0.88,1.2,0.2,2.63,0.031,0.083,0.028,0.0,10.0,0.059,0.27,11.0,0.114,24.0,237.0,0.0,5.0,0.17,0.037,0.019,0.594,0.089,0.08,15.0,0.0,42.0,13.7,0.0,0.54,0.009,0.014,0.018,0.025,0.027,0.006,0.027,0.027,0.006,0.014,0.018,2573.0,123.0,101.0,449.0,0.0,
