food,Energy,Carbs,Protein,Fiber,Fat,Sugar,Fat (mono),Fat (poly),Fat (sat),Cholesterol,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Thiamin (B1),Riboflavin (B2),Niacin (B3),Pantothenic acid (B5),Pyridoxine (B6),Folate (B9),Cobalmins (B12),Vitamin A,Vitamin C,Vitamin D (D2 + D3),Vitamin E,Cystine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Tyrosine,Valine,Lycopene,Lutein + zeaxanthin,alpha-Carotene,beta-Carotene,beta-Cryptoxanthin,Vitamin K
"Peanuts, all types, raw",1470.5,16.13,25.8,8.5,49.24,4.72,24.426,15.558,6.279,0.0,92.0,1.144,4.58,168.0,1.934,376.0,705.0,7.2,18.0,3.27,0.64,0.135,12.066,1.767,0.348,240.0,0.0,0.0,0.0,0.0,8.33,0.331,0.652,0.907,1.672,0.926,0.317,1.377,0.883,0.25,1.049,1.082,0.0,0.0,0.0,0.0,0.0,
"Apples, raw, with skin",135.0,13.81,0.26,2.4,0.17,10.39,0.007,0.051,0.028,0.0,6.0,0.027,0.12,5.0,0.035,11.0,107.0,0.0,1.0,0.04,0.017,0.026,0.091,0.061,0.041,3.0,0.0,3.0,4.6,0.0,0.18,0.001,0.005,0.006,0.013,0.012,0.001,0.006,0.006,0.001,0.001,0.012,0.0,29.0,0.0,27.0,11.0,
"Pineapple, raw, all varieties",129.5,13.12,0.54,1.4,0.12,9.85,0.013,0.04,0.009,0.0,13.0,0.11,0.29,12.0,0.927,8.0,109.0,0.1,1.0,0.12,0.079,0.032,0.5,0.213,0.112,18.0,0.0,3.0,47.8,0.0,0.02,0.014,0.01,0.019,0.024,0.026,0.012,0.021,0.019,0.005,0.019,0.024,0.0,0.0,0.0,35.0,0.0,
"Plums, raw",119.0,11.42,0.7,1.4,0.28,9.92,0.134,0.044,0.017,0.0,6.0,0.057,0.17,7.0,0.052,16.0,157.0,0.0,0.0,0.1,0.028,0.026,0.417,0.135,0.029,5.0,0.0,17.0,9.5,0.0,0.26,0.002,0.009,0.014,0.015,0.016,0.008,0.014,0.01,0.009,0.008,0.016,0.0,73.0,0.0,190.0,35.0,
"Pears, raw",148.0,15.23,0.36,3.1,0.14,9.75,0.084,0.094,0.022,0.0,9.0,0.082,0.18,7.0,0.048,12.0,116.0,0.1,1.0,0.1,0.012,0.026,0.161,0.049,0.029,7.0,0.0,1.0,4.3,0.0,0.12,0.002,0.002,0.011,0.019,0.017,0.002,0.011,0.011,0.002,0.002,0.017,0.0,44.0,1.0,14.0,2.0,
"Apricots, raw",124.5,11.12,1.4,2.0,0.39,9.24,0.17,0.077,0.027,0.0,13.0,0.078,0.39,10.0,0.077,23.0,259.0,0.1,1.0,0.2,0.03,0.04,0.6,0.24,0.054,9.0,0.0,96.0,10.0,0.0,0.89,0.003,0.027,0.041,0.077,0.097,0.006,0.052,0.047,0.015,0.029,0.047,0.0,89.0,19.0,1094.0,104.0,
"Avocados, raw, all commercial varieties",415.0,8.53,2.0,6.7,14.66,0.66,9.799,1.816,2.126,0.0,12.0,0.19,0.55,29.0,0.142,52.0,485.0,0.4,7.0,0.64,0.067,0.13,1.738,1.389,0.257,81.0,0.0,7.0,10.0,0.0,2.07,0.027,0.049,0.084,0.143,0.132,0.038,0.097,0.073,0.025,0.049,0.107,0.0,271.0,24.0,62.0,28.0,
"Blackberries, frozen, unsweetened",166.0,15.67,1.18,5.0,0.43,10.67,0.041,0.245,0.015,0.0,29.0,0.12,0.8,22.0,1.223,30.0,140.0,0.4,1.0,0.25,0.029,0.046,1.207,0.151,0.061,34.0,0.0,6.0,3.1,0.0,1.17,,,,,,,,,,,,0.0,118.0,0.0,68.0,0.0,
"Blueberries, raw",118.0,14.49,0.74,2.4,0.33,9.96,0.047,0.146,0.028,0.0,6.0,0.057,0.28,6.0,0.336,12.0,77.0,0.1,1.0,0.16,0.037,0.041,0.418,0.124,0.052,6.0,0.0,3.0,9.7,0.0,0.57,0.008,0.011,0.023,0.044,0.013,0.012,0.026,0.02,0.003,0.009,0.031,0.0,80.0,0.0,32.0,0.0,
"Cranberries, raw",94.33333333333333,11.97,0.46,3.6,0.13,4.27,0.018,0.055,0.008,0.0,8.0,0.056,0.23,6.0,0.267,11.0,80.0,0.1,2.0,0.09,0.012,0.02,0.101,0.295,0.057,1.0,0.0,3.0,14.0,0.0,1.32,0.003,0.018,0.033,0.053,0.039,0.003,0.036,0.028,0.003,0.032,0.045,0.0,91.0,0.0,38.0,0.0,
"Raspberries, raw",108.0,11.94,1.2,6.5,0.65,4.42,0.064,0.375,0.019,0.0,25.0,0.09,0.69,22.0,0.67,29.0,151.0,0.2,1.0,0.42,0.032,0.038,0.598,0.329,0.055,21.0,0.0,2.0,26.2,0.0,0.87,,,,,,,,,,,,0.0,136.0,16.0,12.0,0.0,
"Clementines, raw",122.5,12.02,0.85,1.7,0.15,9.18,,,,,30.0,0.043,0.14,10.0,0.023,21.0,177.0,0.1,1.0,0.06,0.086,0.03,0.636,0.151,0.075,24.0,,,48.8,0.0,0.2,,,,,,,,,,,,,,,,,
"Strawberries, raw",75.14285714285714,7.654999999999999,0.655,1.9,0.26,4.89,0.0215,0.0775,0.0075,0.0,14.0,0.08349999999999999,0.345,12.4,0.31533333333333335,22.0,121.0,0.4,5.5,0.16,0.0245,0.019,0.386,0.123,0.041,16.0,0.0,1.0,52.474999999999994,0.0,0.29,0.002,0.004,0.005333333333333333,0.011333333333333334,0.008666666666666666,0.0006666666666666666,0.006333333333333333,0.006666666666666667,0.0026666666666666666,0.007333333333333333,0.006333333333333333,0.0,24.0,0.0,7.0,0.0,
"Dates, medjool",718.5,74.97,1.81,6.7,0.15,66.47,,,,,64.0,0.362,0.9,54.0,0.296,62.0,696.0,,1.0,0.44,0.05,0.06,1.61,0.805,0.249,15.0,,7.0,0.0,0.0,0.0,0.046,0.029,0.045,0.082,0.054,0.017,0.048,0.042,0.007,0.016,0.066,0.0,23.0,0.0,89.0,0.0,
"Plantains, green, raw",393.5,36.66,1.25,2.2,0.07,2.29,0.019,0.031,0.121,,2.0,0.116,0.75,41.0,0.109,31.0,431.0,,2.0,0.18,0.1,0.1,0.55,0.53,0.07,28.0,,,20.2,,0.0,,,,,,,,,,,,,,,,,
"Pomegranates, raw",214.5,18.7,1.67,4.0,1.17,13.67,0.093,0.079,0.12,0.0,10.0,0.158,0.3,12.0,0.119,36.0,236.0,0.5,3.0,0.35,0.067,0.053,0.293,0.377,0.075,38.0,0.0,0.0,10.2,0.0,0.6,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
"Bananas, raw",230.0,22.84,1.09,2.6,0.33,12.23,0.032,0.073,0.112,0.0,5.0,0.078,0.26,27.0,0.27,22.0,358.0,1.0,1.0,0.15,0.031,0.073,0.665,0.334,0.367,20.0,0.0,3.0,8.7,0.0,0.1,0.009,0.077,0.028,0.068,0.05,0.008,0.049,0.028,0.009,0.009,0.047,0.0,22.0,25.0,26.0,0.0,
"Plantains, yellow, raw",316.0,31.89,1.3,1.7,0.35,17.51,0.0,0.0,0.0,0.0,3.0,0.074,0.55,36.0,0.144,32.0,487.0,1.5,4.0,0.19,0.062,0.076,0.672,0.3,0.242,22.0,0.0,56.0,18.4,0.0,0.0,,,,,,,,,,,,0.0,30.0,438.0,457.0,0.0,28.8
"Kiwifruit, green, raw",153.75,14.33,1.1,3.0,0.48,8.99,0.047,0.287,0.029,0.0,34.5,0.132,0.275,16.35,0.081,34.0,255.0,0.2,4.0,0.14,0.027,0.025,0.35550000000000004,0.1945,0.062,25.5,0.0,4.0,83.7,0.0,1.38,0.0295,0.025500000000000002,0.0485,0.0625,0.057999999999999996,0.023,0.041499999999999995,0.045,0.013999999999999999,0.032,0.0545,0.0,122.0,0.0,52.0,0.0,
"Figs, dried, uncooked",644.6666666666666,63.88999999999999,3.2999999999999994,9.8,0.9233333333333333,47.92,0.159,0.345,0.144,0.0,162.0,0.287,2.03,67.73333333333333,0.51,67.0,680.0,0.6,10.0,0.6233333333333334,0.085,0.082,0.619,0.434,0.106,9.0,0.0,0.0,1.2,0.0,0.35666666666666663,0.034,0.035,0.08433333333333333,0.12,0.08333333333333333,0.032,0.07133333333333335,0.08033333333333333,0.01933333333333333,0.03833333333333333,0.11599999999999999,0.0,32.0,0.0,6.0,0.0,
"Oranges, raw, all commercial varieties",122.0,11.75,0.94,2.4,0.12,9.35,0.023,0.025,0.015,0.0,40.0,0.045,0.1,10.0,0.025,14.0,181.0,0.5,0.0,0.07,0.087,0.04,0.282,0.25,0.06,30.0,0.0,11.0,53.2,0.0,0.18,0.01,0.018,0.025,0.023,0.047,0.02,0.031,0.015,0.009,0.016,0.04,0.0,129.0,11.0,71.0,116.0,
"Apricots, dried, sulfured, uncooked",625.0,62.64,3.39,7.3,0.51,53.44,0.074,0.074,0.017,0.0,55.0,0.343,2.66,32.0,0.235,71.0,1162.0,2.2,10.0,0.39,0.015,0.074,2.589,0.516,0.143,10.0,0.0,180.0,1.0,0.0,4.33,0.019,0.047,0.063,0.105,0.083,0.015,0.062,0.073,0.016,0.039,0.078,0.0,0.0,0.0,2163.0,0.0,
"Olives, ripe, canned (small-extra large)",300.5,6.04,0.84,1.6,10.9,0.0,7.652,0.629,2.279,0.0,88.0,0.251,6.28,4.0,0.02,3.0,8.0,0.9,735.0,0.22,0.003,0.0,0.037,0.015,0.009,0.0,0.0,17.0,0.9,0.0,1.65,,0.023,0.031,0.05,0.032,0.012,0.029,0.026,,0.023,0.038,0.0,510.0,0.0,198.0,0.0,
"Raisins, dark, seedless",774.5,79.32,3.3,4.5,0.25,65.18,0.024,0.053,0.094,0.0,62.0,0.272,1.79,36.0,0.281,98.0,744.0,0.6,26.0,0.36,0.106,0.125,0.766,,0.174,5.0,0.0,0.0,2.3,0.0,0.12,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
"Fish, salmon, atlantic, farmed, raw",539.5,0.0,20.42,0.0,13.42,0.0,3.77,3.886,3.05,55.0,9.0,0.045,0.34,27.0,0.011,240.0,363.0,24.0,59.0,0.36,0.207,0.155,8.672,1.547,0.636,26.0,3.23,58.0,3.9,11.025,3.55,0.219,0.549,0.968,1.615,1.87,0.626,0.845,0.86,0.209,0.759,1.107,0.0,0.0,0.0,0.0,0.0,0.5
"Fish, salmon, atlantic, wild, raw",368.0,0.0,19.84,0.0,6.34,,2.103,2.539,0.981,55.0,12.0,0.25,0.8,29.0,0.016,200.0,490.0,36.5,44.0,0.64,0.226,0.38,7.86,1.664,0.818,25.0,3.18,12.0,0.0,,0.0,0.213,0.584,0.914,1.613,1.822,0.587,0.775,0.87,0.222,0.67,1.022,,,,,,
"Fish, cod, atlantic, raw",212.5,0.0,17.81,0.0,0.67,0.0,0.094,0.231,0.131,43.0,16.0,0.028,0.38,32.0,0.015,203.0,413.0,33.1,54.0,0.45,0.076,0.065,2.063,0.153,0.245,7.0,0.91,12.0,1.0,0.9,0.64,0.191,0.524,0.821,1.447,1.635,0.527,0.695,0.781,0.199,0.601,0.917,0.0,0.0,0.0,0.0,0.0,
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",310.5,0.0,22.5,0.0,2.62,0.0,0.689,0.424,0.563,73.0,5.0,0.037,0.37,28.0,0.011,213.0,334.0,22.8,45.0,0.68,0.094,0.177,9.6,1.495,0.811,9.0,0.21,9.0,0.0,0.025,0.56,0.236,0.839,1.104,1.861,2.163,0.585,0.908,1.009,0.283,0.81,1.165,0.0,0.0,0.0,0.0,0.0,8.4
"Pork, fresh, ground, raw",681.5,0.0,16.88,0.0,21.19,,9.44,1.91,7.87,72.0,14.0,0.045,0.88,19.0,0.01,175.0,287.0,24.6,56.0,2.2,0.732,0.235,4.338,0.668,0.383,5.0,0.7,2.0,0.7,,0.0,0.215,0.674,0.79,1.354,1.518,0.447,0.674,0.771,0.214,0.588,0.916,,,,,,
"Beef, grass-fed, ground, raw",513.0,0.0,19.42,0.0,12.73,0.0,4.8,0.532,5.335,62.0,12.0,0.063,1.99,19.0,0.01,175.0,289.0,14.2,68.0,4.55,0.049,0.154,4.818,0.576,0.355,6.0,1.97,0.0,0.0,,0.35,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
"Egg, whole, raw, fresh",371.0,0.72,12.56,0.0,9.51,0.37,3.658,1.911,3.126,372.0,56.0,0.072,1.75,12.0,0.028,198.0,138.0,30.7,142.0,1.29,0.04,0.457,0.075,1.533,0.17,47.0,0.89,160.0,0.0,2.05,1.05,0.272,0.309,0.671,1.086,0.912,0.38,0.68,0.556,0.167,0.499,0.858,0.0,503.0,0.0,0.0,9.0,
