Shrt_Desc,Energy,Carbs,Fat,Protein,Fiber,Sugars,Monounsaturated fat,Polyunsaturated fat,Saturated fat,Cholesterol,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B4 (Panthothenic acid),Vitamin B6,Vitamin B9 (Folate),Vitamin B12,"Vitamin A, IU",Vitamin A,Vitamin C,Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Lycopene,Lutein + zeaxanthin,"Carotene, alpha","Carotene, beta",Retinol,"Cryptoxanthin, beta"
"Nuts, pistachio nuts, raw",1451.0,27.17,45.32,20.16,10.6,7.66,23.256999999999998,14.38,5.907,0.0,105.0,1.3,3.92,121.0,1.2,490.0,1025.0,7.0,1.0,2.2,0.87,0.16,1.3,0.52,1.7,51.0,0.0,516.0,26.0,5.6,0.0,0.0,2.86,,,2903.0,10.0,305.0,0.0,0.0
"Nuts, walnuts, english",1696.0,13.71,65.21,15.23,6.7,2.61,8.933,47.174,6.126,0.0,98.0,1.5859999999999999,2.91,158.0,3.4139999999999997,346.0,441.0,4.9,2.0,3.09,0.341,0.15,1.125,0.57,0.537,98.0,0.0,20.0,1.0,1.3,0.0,0.0,0.7,2.7,0.0,9.0,0.0,12.0,0.0,0.0
"Nuts, coconut meat, dried (desiccated), not sweetened",1710.5,23.65,64.53,6.88,16.3,7.35,2.745,0.706,57.218,0.0,26.0,0.7959999999999999,3.32,90.0,2.745,206.0,543.0,18.5,37.0,2.01,0.06,0.1,0.603,0.8,0.3,9.0,0.0,0.0,0.0,1.5,0.0,0.0,0.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0
"Peanuts, all types, raw",1470.5,16.13,49.24,25.8,8.5,4.72,24.426,15.558,6.279,0.0,92.0,1.1440000000000001,4.58,168.0,1.9340000000000002,376.0,705.0,7.2,18.0,3.27,0.64,0.135,12.065999999999999,1.767,0.348,240.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Apples, raw, with skin",135.0,13.81,0.17,0.26,2.4,10.39,0.006999999999999999,0.051,0.027999999999999997,0.0,6.0,0.027000000000000003,0.12,5.0,0.035,11.0,107.0,0.0,1.0,0.04,0.017,0.026000000000000002,0.091,0.061,0.040999999999999995,3.0,0.0,54.0,3.0,4.6,0.0,0.0,0.18,2.2,0.0,29.0,0.0,27.0,0.0,11.0
"Pineapple, raw, all varieties",129.5,13.12,0.12,0.54,1.4,9.85,0.013000000000000001,0.04,0.009000000000000001,0.0,13.0,0.11,0.29,12.0,0.927,8.0,109.0,0.1,1.0,0.12,0.079,0.032,0.5,0.213,0.11199999999999999,18.0,0.0,58.0,3.0,47.8,0.0,0.0,0.02,0.7,0.0,0.0,0.0,35.0,0.0,0.0
"Plums, raw",119.0,11.42,0.28,0.7,1.4,9.92,0.134,0.044000000000000004,0.017,0.0,6.0,0.057,0.17,7.0,0.052000000000000005,16.0,157.0,0.0,0.0,0.1,0.027999999999999997,0.026000000000000002,0.41700000000000004,0.135,0.028999999999999998,5.0,0.0,345.0,17.0,9.5,0.0,0.0,0.26,6.4,0.0,73.0,0.0,190.0,0.0,35.0
"Pears, raw",148.0,15.23,0.14,0.36,3.1,9.75,0.084,0.094,0.022000000000000002,0.0,9.0,0.08199999999999999,0.18,7.0,0.048,12.0,116.0,0.1,1.0,0.1,0.012,0.026000000000000002,0.161,0.049,0.028999999999999998,7.0,0.0,25.0,1.0,4.3,0.0,0.0,0.12,4.4,0.0,44.0,1.0,14.0,0.0,2.0
"Apricots, raw",124.5,11.12,0.39,1.4,2.0,9.24,0.17,0.077,0.027000000000000003,0.0,13.0,0.078,0.39,10.0,0.077,23.0,259.0,0.1,1.0,0.2,0.03,0.04,0.6,0.24,0.054000000000000006,9.0,0.0,1926.0,96.0,10.0,0.0,0.0,0.89,3.3,0.0,89.0,19.0,1094.0,0.0,104.0
"Avocados, raw, all commercial varieties",415.0,8.53,14.66,2.0,6.7,0.66,9.799,1.8159999999999998,2.126,0.0,12.0,0.19,0.55,29.0,0.142,52.0,485.0,0.4,7.0,0.64,0.067,0.13,1.7380000000000002,1.389,0.257,81.0,0.0,146.0,7.0,10.0,0.0,0.0,2.07,21.0,0.0,271.0,24.0,62.0,0.0,28.0
"Blackberries, frozen, unsweetened",166.0,15.67,0.43,1.18,5.0,10.67,0.040999999999999995,0.245,0.015,0.0,29.0,0.12,0.8,22.0,1.2229999999999999,30.0,140.0,0.4,1.0,0.25,0.028999999999999998,0.046,1.207,0.151,0.061,34.0,0.0,114.0,6.0,3.1,0.0,0.0,1.17,19.8,0.0,118.0,0.0,68.0,0.0,0.0
"Blueberries, raw",148.5,14.49,0.33,0.74,2.4,9.96,0.047,0.146,0.027999999999999997,0.0,6.0,0.057,0.28,6.0,0.336,12.0,77.0,0.1,1.0,0.16,0.037000000000000005,0.040999999999999995,0.418,0.124,0.052000000000000005,6.0,0.0,54.0,3.0,9.7,0.0,0.0,0.57,19.3,0.0,80.0,0.0,32.0,0.0,0.0
"Cranberries, raw",118.5,11.97,0.13,0.46,3.6,4.27,0.018000000000000002,0.055,0.008,0.0,8.0,0.055999999999999994,0.23,6.0,0.267,11.0,80.0,0.1,2.0,0.09,0.012,0.02,0.10099999999999999,0.295,0.057,1.0,0.0,63.0,3.0,14.0,0.0,0.0,1.32,5.0,0.0,91.0,0.0,38.0,0.0,0.0
"Raspberries, raw",136.0,11.94,0.65,1.2,6.5,4.42,0.064,0.375,0.019,0.0,25.0,0.09,0.69,22.0,0.67,29.0,151.0,0.2,1.0,0.42,0.032,0.038,0.598,0.32899999999999996,0.055,21.0,0.0,33.0,2.0,26.2,0.0,0.0,0.87,7.8,0.0,136.0,16.0,12.0,0.0,0.0
"Clementines, raw",122.5,12.02,0.15,0.85,1.7,9.18,,,,,30.0,0.043,0.14,10.0,0.023,21.0,177.0,0.1,1.0,0.06,0.086,0.03,0.636,0.151,0.075,24.0,,,,48.8,0.0,0.0,0.2,0.0,,,,,,
"Strawberries, raw",84.0,7.68,0.3,0.67,2.0,4.89,0.043,0.155,0.015,0.0,16.0,0.048,0.41,13.0,0.386,24.0,153.0,0.4,1.0,0.14,0.024,0.022000000000000002,0.386,0.125,0.047,24.0,0.0,12.0,1.0,58.8,0.0,0.0,0.29,2.2,0.0,26.0,0.0,7.0,0.0,0.0
"Dates, medjool",718.5,74.97,0.15,1.81,6.7,66.47,,,,,64.0,0.36200000000000004,0.9,54.0,0.29600000000000004,62.0,696.0,,1.0,0.44,0.05,0.06,1.61,0.805,0.249,15.0,,149.0,7.0,0.0,0.0,0.0,,2.7,0.0,23.0,0.0,89.0,,0.0
"Plantains, green, raw",393.5,36.66,0.07,1.25,2.2,2.29,0.019,0.031,0.121,,2.0,0.11599999999999999,0.75,41.0,0.109,31.0,431.0,,2.0,0.18,0.1,0.1,0.55,0.53,0.07,28.0,,,,20.2,,,,,,,,,,
"Pomegranates, raw",214.5,18.7,1.17,1.67,4.0,13.67,0.09300000000000001,0.079,0.12,0.0,10.0,0.158,0.3,12.0,0.11900000000000001,36.0,236.0,0.5,3.0,0.35,0.067,0.053,0.293,0.377,0.075,38.0,0.0,0.0,0.0,10.2,0.0,0.0,0.6,16.4,0.0,0.0,0.0,0.0,0.0,0.0
"Bananas, raw",230.0,22.84,0.33,1.09,2.6,12.23,0.032,0.073,0.11199999999999999,0.0,5.0,0.078,0.26,27.0,0.27,22.0,358.0,1.0,1.0,0.15,0.031,0.073,0.665,0.33399999999999996,0.36700000000000005,20.0,0.0,64.0,3.0,8.7,0.0,0.0,0.1,0.5,0.0,22.0,25.0,26.0,0.0,0.0
"Plantains, yellow, raw",316.0,31.89,0.35,1.3,1.7,17.51,0.0,0.0,0.0,0.0,3.0,0.07400000000000001,0.55,36.0,0.14400000000000002,32.0,487.0,1.5,4.0,0.19,0.062,0.076,0.672,0.3,0.242,22.0,0.0,1127.0,56.0,18.4,0.0,0.0,0.0,28.8,0.0,30.0,438.0,457.0,0.0,0.0
"Kiwifruit, green, raw",158.0,14.66,0.52,1.14,3.0,8.99,0.047,0.287,0.028999999999999998,0.0,34.0,0.13,0.31,17.0,0.098,34.0,312.0,0.2,3.0,0.14,0.027000000000000003,0.025,0.341,0.183,0.063,25.0,0.0,87.0,4.0,92.7,0.0,0.0,1.46,40.3,0.0,122.0,0.0,52.0,0.0,0.0
"Figs, dried, uncooked",645.0,63.87,0.93,3.3,9.8,47.92,0.159,0.345,0.14400000000000002,0.0,162.0,0.287,2.03,68.0,0.51,67.0,680.0,0.6,10.0,0.55,0.085,0.08199999999999999,0.619,0.434,0.106,9.0,0.0,10.0,0.0,1.2,0.0,0.0,0.35,15.6,0.0,32.0,0.0,6.0,0.0,0.0
"Oranges, raw, all commercial varieties",122.0,11.75,0.12,0.94,2.4,9.35,0.023,0.025,0.015,0.0,40.0,0.045,0.1,10.0,0.025,14.0,181.0,0.5,0.0,0.07,0.087,0.04,0.282,0.25,0.06,30.0,0.0,225.0,11.0,53.2,0.0,0.0,0.18,0.0,0.0,129.0,11.0,71.0,0.0,116.0
"Apricots, dried, sulfured, uncooked",625.0,62.64,0.51,3.39,7.3,53.44,0.07400000000000001,0.07400000000000001,0.017,0.0,55.0,0.34299999999999997,2.66,32.0,0.235,71.0,1162.0,2.2,10.0,0.39,0.015,0.07400000000000001,2.589,0.516,0.14300000000000002,10.0,0.0,3604.0,180.0,1.0,0.0,0.0,4.33,3.1,0.0,0.0,0.0,2163.0,0.0,0.0
"Olives, ripe, canned (small-extra large)",300.5,6.04,10.9,0.84,1.6,0.0,7.652,0.629,2.279,0.0,88.0,0.251,6.28,4.0,0.02,3.0,8.0,0.9,735.0,0.22,0.003,0.0,0.037000000000000005,0.015,0.009000000000000001,0.0,0.0,330.0,17.0,0.9,0.0,0.0,1.65,1.4,0.0,510.0,0.0,198.0,0.0,0.0
