Shrt_Desc,Energy,Carbs,Fat,Protein,Fiber,Sugars,Monounsaturated fat,Polyunsaturated fat,Saturated fat,Cholesterol,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B4 (Panthothenic acid),Vitamin B6,Vitamin B9 (Folate),Vitamin B12,"Vitamin A, IU",Vitamin A,Vitamin C,Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Lycopene,Lutein + zeaxanthin,"Carotene, alpha","Carotene, beta",Retinol,"Cryptoxanthin, beta"
"Rice, white, long-grain, regular, raw, unenriched",946.0,79.95,0.66,7.13,1.3,0.12,0.20600000000000002,0.177,0.18,0.0,28.0,0.22,0.8,25.0,1.088,115.0,115.0,15.1,5.0,1.09,0.07,0.049,1.6,1.014,0.16399999999999998,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0
"Semolina, unenriched",933.0,72.83,1.05,12.68,3.9,,0.124,0.43,0.15,0.0,17.0,0.18899999999999997,1.23,47.0,0.619,136.0,186.0,,1.0,1.05,0.28,0.08,3.31,0.58,0.10300000000000001,72.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,
Triticale,871.0,72.13,2.09,13.05,,,0.21100000000000002,0.9129999999999999,0.366,0.0,37.0,0.457,2.57,130.0,3.21,358.0,332.0,,5.0,3.45,0.41600000000000004,0.134,1.43,1.3230000000000002,0.138,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,,,,,,0.0,
"Teff, uncooked",951.5,73.13,2.38,13.3,8.0,1.84,0.589,1.071,0.449,,180.0,0.81,7.63,184.0,9.24,429.0,427.0,4.4,12.0,3.63,0.39,0.27,3.363,0.9420000000000001,0.48200000000000004,,,9.0,0.0,,,,0.08,1.9,0.0,66.0,0.0,5.0,,0.0
Rye grain,876.0,75.86,1.63,10.34,15.1,0.98,0.20800000000000002,0.767,0.19699999999999998,0.0,24.0,0.36700000000000005,2.63,110.0,2.577,332.0,510.0,13.9,2.0,2.65,0.316,0.251,4.27,1.456,0.294,38.0,0.0,11.0,1.0,0.0,0.0,0.0,0.85,5.9,0.0,210.0,0.0,7.0,0.0,0.0
"Brussels sprouts, raw",111.0,8.95,0.3,3.38,3.8,2.2,0.023,0.153,0.062,0.0,42.0,0.07,1.4,23.0,0.337,69.0,389.0,1.6,25.0,0.42,0.139,0.09,0.745,0.309,0.21899999999999997,61.0,0.0,754.0,38.0,85.0,0.0,0.0,0.88,177.0,0.0,1590.0,6.0,450.0,0.0,0.0
"Beets, raw",111.5,9.56,0.17,1.61,2.8,6.76,0.032,0.06,0.027000000000000003,0.0,16.0,0.075,0.8,23.0,0.32899999999999996,40.0,325.0,0.7,78.0,0.35,0.031,0.04,0.33399999999999996,0.155,0.067,109.0,0.0,33.0,2.0,4.9,0.0,0.0,0.04,0.2,0.0,0.0,0.0,20.0,0.0,0.0
"Broccoli, raw",87.5,6.64,0.37,2.82,2.6,1.7,0.031,0.11199999999999999,0.114,0.0,47.0,0.049,0.73,21.0,0.21,66.0,316.0,2.5,33.0,0.41,0.071,0.11699999999999999,0.639,0.573,0.175,63.0,0.0,623.0,31.0,89.2,0.0,0.0,0.78,101.6,0.0,1403.0,25.0,361.0,0.0,1.0
"Cauliflower, raw",64.5,4.97,0.28,1.92,2.0,1.91,0.034,0.031,0.13,0.0,22.0,0.039,0.42,15.0,0.155,44.0,299.0,0.6,30.0,0.27,0.05,0.06,0.507,0.667,0.184,57.0,0.0,0.0,0.0,48.2,0.0,0.0,0.08,15.5,0.0,1.0,0.0,0.0,0.0,0.0
"Eggplant, raw",64.5,5.88,0.18,0.98,3.0,3.53,0.016,0.076,0.034,0.0,9.0,0.081,0.23,14.0,0.23199999999999998,24.0,229.0,0.3,2.0,0.16,0.039,0.037000000000000005,0.649,0.281,0.084,22.0,0.0,23.0,1.0,2.2,0.0,0.0,0.3,3.5,0.0,36.0,0.0,14.0,0.0,0.0
"Kale, raw",91.5,4.42,1.49,2.92,4.1,0.99,0.10400000000000001,0.6729999999999999,0.17800000000000002,0.0,254.0,0.053,1.6,33.0,0.92,55.0,348.0,0.9,53.0,0.39,0.113,0.34700000000000003,1.18,0.37,0.147,62.0,0.0,4812.0,241.0,93.4,0.0,0.0,0.66,389.6,0.0,6261.0,0.0,2873.0,0.0,27.0
"Spinach, raw",60.0,3.63,0.39,2.86,2.2,0.42,0.01,0.165,0.063,0.0,99.0,0.13,2.71,79.0,0.897,49.0,558.0,1.0,79.0,0.53,0.078,0.18899999999999997,0.7240000000000001,0.065,0.195,194.0,0.0,9377.0,469.0,28.1,0.0,0.0,2.03,482.9,0.0,12198.0,0.0,5626.0,0.0,0.0
"Lettuce, cos or romaine, raw",44.5,3.29,0.3,1.23,2.1,1.19,0.012,0.16,0.039,0.0,33.0,0.048,0.97,14.0,0.155,30.0,247.0,0.4,8.0,0.23,0.07200000000000001,0.067,0.313,0.142,0.07400000000000001,136.0,0.0,8710.0,436.0,4.0,0.0,0.0,0.13,102.5,0.0,2312.0,0.0,5226.0,0.0,0.0
"Chard, swiss, raw",49.0,3.74,0.2,1.8,1.6,1.1,0.04,0.07,0.03,0.0,51.0,0.179,1.8,81.0,0.366,46.0,379.0,0.9,213.0,0.36,0.04,0.09,0.4,0.172,0.099,14.0,0.0,6116.0,306.0,30.0,0.0,0.0,1.89,830.0,0.0,11000.0,45.0,3647.0,0.0,0.0
"Arugula, raw",65.0,3.65,0.66,2.58,1.6,2.05,0.049,0.319,0.086,0.0,160.0,0.076,1.46,47.0,0.321,52.0,369.0,0.3,27.0,0.47,0.044000000000000004,0.086,0.305,0.43700000000000006,0.073,97.0,0.0,2373.0,119.0,15.0,0.0,0.0,0.43,108.6,0.0,3555.0,0.0,1424.0,0.0,0.0
"Collards, raw",82.5,5.42,0.61,3.02,4.0,0.46,0.03,0.201,0.055,0.0,232.0,0.046,0.47,27.0,0.6579999999999999,25.0,213.0,1.3,17.0,0.21,0.054000000000000006,0.13,0.742,0.267,0.165,129.0,0.0,5019.0,251.0,35.3,0.0,0.0,2.26,437.1,0.0,4323.0,14.0,2991.0,0.0,28.0
"Lettuce, iceberg (includes crisphead types), raw",36.0,2.97,0.14,0.9,1.2,1.97,0.006,0.07400000000000001,0.018000000000000002,0.0,18.0,0.025,0.41,7.0,0.125,20.0,141.0,0.1,10.0,0.15,0.040999999999999995,0.025,0.12300000000000001,0.091,0.042,29.0,0.0,502.0,25.0,2.8,0.0,0.0,0.18,24.1,0.0,277.0,4.0,299.0,0.0,0.0
"Beet greens, raw",57.0,4.33,0.13,2.2,3.7,0.5,0.026000000000000002,0.046,0.02,0.0,117.0,0.191,2.57,70.0,0.391,41.0,762.0,0.9,226.0,0.38,0.1,0.22,0.4,0.25,0.106,15.0,0.0,6326.0,316.0,30.0,0.0,0.0,1.5,400.0,0.0,1503.0,3.0,3794.0,0.0,0.0
"Mustard greens, raw",70.5,4.67,0.42,2.86,3.2,1.32,0.092,0.038,0.01,0.0,115.0,0.165,1.64,32.0,,58.0,384.0,0.9,20.0,0.25,0.08,0.11,0.8,0.21,0.18,12.0,0.0,3024.0,151.0,70.0,0.0,0.0,2.01,257.5,0.0,3730.0,10.0,1790.0,0.0,40.0
"Cabbage, chinese (pak-choi), raw",34.0,2.18,0.2,1.5,1.0,1.18,0.015,0.096,0.027000000000000003,0.0,105.0,0.021,0.8,19.0,0.159,37.0,252.0,0.5,65.0,0.19,0.04,0.07,0.5,0.08800000000000001,0.19399999999999998,66.0,0.0,4468.0,223.0,45.0,0.0,0.0,0.09,45.5,0.0,40.0,1.0,2681.0,0.0,0.0
