Shrt_Desc,Energy,Carbs,Fat,Protein,Fiber,Sugars,Monounsaturated fat,Polyunsaturated fat,Saturated fat,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B4 (Pantothenic acid),Vitamin B6,Vitamin B9 (Folate),Vitamin B12,Vitamin A,Vitamin C,Vitamin D (D2 + D3),Vitamin E,Vitamin K,Cystine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Tyrosine,Valine,Lycopene,Lutein + zeaxanthin,alpha-Carotene,beta-Carotene,beta-Cryptoxanthin,Category
"Beets, raw",5.1,4.8,0.3,2.9,7.4,27.0,0.1,0.3,0.1,1.6,8.3,10.0,5.5,14.3,5.7,6.9,1.3,5.2,3.2,2.6,3.1,2.1,3.1,5.2,27.2,0.0,0.2,8.2,0.0,0.3,0.2,2.9,2.1,3.6,2.3,2.2,2.7,4.0,3.4,5.4,3.3,3.3,0.0,0.0,0.0,0.4,0.0,vegetables
"Broccoli, raw",4.0,3.3,0.6,5.0,6.8,6.8,0.1,0.5,0.6,4.7,5.4,9.1,5.0,9.1,9.4,6.7,4.5,2.2,3.7,5.9,9.0,4.0,11.5,13.5,15.8,0.0,3.4,148.7,0.0,5.2,84.7,4.2,6.0,5.9,4.4,5.1,5.7,10.1,6.3,9.4,4.3,7.4,0.0,11.7,3.1,8.0,0.3,vegetables
"Cauliflower, raw",2.9,2.5,0.4,3.4,5.3,7.6,0.2,0.1,0.6,2.2,4.3,5.2,3.6,6.7,6.3,6.4,1.1,2.0,2.5,4.2,4.6,3.2,13.3,14.2,14.2,0.0,0.0,80.3,0.0,0.5,12.9,3.0,5.7,5.3,3.6,8.2,3.0,5.6,5.4,5.7,4.4,7.4,0.0,0.0,0.0,0.0,0.0,vegetables
"Eggplant, raw",2.9,2.9,0.3,1.8,7.9,14.1,0.1,0.3,0.2,0.9,9.0,2.9,3.3,10.1,3.4,4.9,0.5,0.1,1.5,3.2,2.8,4.1,5.6,6.5,5.5,0.0,0.1,3.7,0.0,2.0,2.9,0.9,2.3,3.4,2.2,1.8,1.7,3.7,2.6,2.6,2.3,3.2,0.0,0.3,0.0,0.3,0.0,vegetables
"Kale, raw",4.2,2.2,2.3,5.2,10.8,4.0,0.5,3.1,0.9,25.4,5.9,20.0,7.9,40.0,7.9,7.4,1.6,3.5,3.5,9.4,26.7,7.4,7.4,11.3,15.5,0.0,26.8,155.7,0.0,4.4,324.7,5.7,17.6,13.2,7.0,6.6,4.4,13.0,9.4,10.0,8.9,9.5,0.0,52.2,0.0,63.8,9.0,greens
"Spinach, raw",2.7,1.8,0.6,5.1,5.8,1.7,0.0,0.8,0.3,9.9,14.4,33.9,18.8,39.0,7.0,11.9,1.8,5.3,4.8,6.5,14.5,4.5,1.3,15.0,48.5,0.0,52.1,46.8,0.0,13.5,402.4,5.3,6.5,11.1,7.6,6.5,8.0,11.2,8.7,11.1,9.4,9.6,0.0,101.6,0.0,125.0,0.0,greens
"Lettuce, cos or romaine, raw",2.0,1.6,0.5,2.2,5.5,4.8,0.1,0.7,0.2,3.3,5.3,12.1,3.3,6.7,4.3,5.3,0.7,0.5,2.1,6.0,5.2,2.0,2.8,5.7,34.0,0.0,48.4,6.7,0.0,0.9,85.4,0.9,2.1,3.4,2.6,2.4,2.3,5.6,3.1,2.9,2.2,3.3,0.0,19.3,0.0,116.1,0.0,greens
"Chard, swiss, raw",2.2,1.9,0.3,3.2,4.2,4.4,0.2,0.3,0.2,5.1,19.9,22.5,19.3,15.9,6.6,8.1,1.6,14.2,3.3,3.3,6.9,2.5,3.4,7.6,3.5,0.0,34.0,50.0,0.0,12.6,691.7,,3.7,11.1,4.4,3.7,2.9,9.5,5.9,4.9,,6.5,0.0,91.7,5.6,81.0,0.0,greens
"Arugula, raw",3.0,1.8,1.0,4.6,4.2,8.2,0.2,1.5,0.4,16.0,8.4,18.2,11.2,14.0,7.4,7.9,0.5,1.8,4.3,3.7,6.6,1.9,8.7,5.6,24.2,0.0,13.2,25.0,0.0,2.9,90.5,,,,,,,,,,,,0.0,29.6,0.0,31.6,0.0,greens
"Collards, raw",3.8,2.7,0.9,5.4,10.5,1.8,0.1,0.9,0.3,23.2,5.1,5.9,6.4,28.6,3.6,4.5,2.4,1.1,1.9,4.5,10.0,4.6,5.3,12.7,32.2,0.0,27.9,58.8,0.0,15.1,364.2,3.8,4.8,7.5,5.1,4.4,5.0,7.5,6.1,8.9,5.7,7.1,0.0,36.0,1.8,66.5,9.3,greens
